,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,15-04-2020 18:44,2020,2960623488,30-03-2020 00:00,10-04-2020 00:00,31-03-2020 00:00,CA10,2606.763,0-15
1,U001,200744019,TARG us,01-04-2020 19:56,2020,1930659387,19-03-2020 00:00,03-04-2020 00:00,19-03-2020 00:00,NAA8,11173.02,
2,U001,200418007,AM ,21-03-2020 21:29,2020,1930610806,11-03-2020 00:00,26-03-2020 00:00,11-03-2020 00:00,NAA8,3525.59,
3,U001,200739534,OK systems,30-04-2020 17:20,2020,1930788296,15-04-2020 00:00,30-04-2020 00:00,15-04-2020 00:00,NAA8,121105.65,0-15
4,U001,200353024,DECA corporation,22-04-2020 19:15,2020,1930817482,23-04-2020 00:00,26-04-2020 00:00,16-04-2020 00:00,NAM2,3726.06,
5,U001,200744019,TARG associates,03-04-2020 21:45,2020,1930676042,21-03-2020 00:00,05-04-2020 00:00,21-03-2020 00:00,NAA8,5893.01,
6,CA02,140106408,WAL-M corp,04-04-2020 17:35,2020,2960618790,06-03-2020 00:00,16-03-2020 00:00,06-03-2020 00:00,CA10,73337.4933,16-30
7,U001,200337148,COAS llc,16-03-2020 02:05,2020,1930592246,02-03-2020 00:00,17-03-2020 00:00,02-03-2020 00:00,NAA8,11380.83,
8,U001,200794332,COST associates,21-04-2020 00:37,2020,1930731070,07-04-2020 00:00,22-04-2020 00:00,07-04-2020 00:00,NAAX,3863.93,
9,U001,200794332,COST llc,07-05-2020 08:23,2020,1930803605,23-04-2020 00:00,08-05-2020 00:00,23-04-2020 00:00,NAAX,74453.01,
10,U001,200803720,DEC corp,03-04-2020 04:30,2020,1930698352,25-03-2020 00:00,08-04-2020 00:00,16-03-2020 00:00,NAM4,138.6,
11,U001,200794332,COST co,28-03-2020 04:20,2020,1930647189,13-03-2020 00:00,28-03-2020 00:00,13-03-2020 00:00,NAAX,32715.47,0-15
12,U001,200020431,DEC us,20-05-2020 03:22,2020,1930861637,06-05-2020 00:00,24-05-2020 00:00,01-05-2020 00:00,NAM4,174.72,
13,U001,200769623,WAL-MAR associates,03-04-2020 22:18,2020,1930635649,12-03-2020 00:00,27-03-2020 00:00,12-03-2020 00:00,NAH4,767.78,0-15
14,CA02,140105785,SHOPPE foundation,18-04-2020 12:10,2020,2960624627,27-03-2020 00:00,10-04-2020 00:00,31-03-2020 00:00,CA10,2235.384,0-15
15,U001,200769623,WAL-MAR ,25-03-2020 07:18,2020,1930577078,28-02-2020 00:00,14-03-2020 00:00,28-02-2020 00:00,NAH4,14514.68,0-15
16,U001,200769623,WAL-MAR foundation,02-05-2020 08:52,2020,1930774741,10-04-2020 00:00,25-04-2020 00:00,10-04-2020 00:00,NAH4,55400.31,0-15
17,U001,200772670,ASSOCIAT corporation,22-04-2020 06:47,2020,1930765053,09-04-2020 00:00,24-04-2020 00:00,09-04-2020 00:00,NAU5,174766.36,
18,U001,200900909,SYSCO systems,15-04-2020 08:02,2020,1930645969,13-03-2020 00:00,14-04-2020 00:00,13-03-2020 00:00,NA32,31512.75,0-15
19,U001,200769623,WAL-MAR systems,25-04-2020 13:52,2020,1930718081,30-03-2020 00:00,14-04-2020 00:00,30-03-2020 00:00,NAH4,19701.55,0-15
20,U001,200726979,BJ'S  trust,01-05-2020 08:17,2020,1930788667,16-04-2020 00:00,01-05-2020 00:00,16-04-2020 00:00,NAA8,132.72,0-15
21,U001,200769623,WAL-MAR llc,20-04-2020 23:55,2020,1930709919,29-03-2020 00:00,13-04-2020 00:00,29-03-2020 00:00,NAH4,1121.15,0-15
22,U001,200769623,WAL-MAR llc,29-04-2020 00:00,2020,1930752568,06-04-2020 00:00,21-04-2020 00:00,06-04-2020 00:00,NAH4,11394.84,0-15
23,CA02,140105847,GORDON F co,20-04-2020 06:59,2020,2960627274,08-04-2020 00:00,18-04-2020 00:00,08-04-2020 00:00,CA10,2911.308,0-15
24,U001,200744019,TARG foundation,30-03-2020 13:53,2020,1930648342,15-03-2020 00:00,30-03-2020 00:00,15-03-2020 00:00,NAA8,52123.3,0-15
25,U001,200769623,WAL-MAR systems,05-04-2020 13:47,2020,1930632791,10-03-2020 00:00,25-03-2020 00:00,10-03-2020 00:00,NAH4,14994.01,0-15
26,U001,200769623,WAL-MAR llc,29-03-2020 00:25,2020,1930617194,06-03-2020 00:00,21-03-2020 00:00,06-03-2020 00:00,NAH4,36.06,0-15
27,U001,200418007,AM in,18-04-2020 06:55,2020,1930752243,06-04-2020 00:00,21-04-2020 00:00,06-04-2020 00:00,NAA8,25836.19,
28,U001,200739006,AL foundation,25-04-2020 08:39,2020,1930768064,15-04-2020 00:00,30-04-2020 00:00,15-04-2020 00:00,NAA8,4309.05,
29,U001,100031704,DELHAIZE associates,30-04-2020 17:54,2020,1930789873,15-04-2020 00:00,30-04-2020 00:00,15-04-2020 00:00,NAA8,70181.07,0-15
30,U001,200769623,WAL-MAR trust,20-04-2020 07:42,2020,1930705172,28-03-2020 00:00,12-04-2020 00:00,28-03-2020 00:00,NAH4,3403.8,0-15
31,U001,200744019,TARG systems,12-05-2020 07:31,2020,1930620634,10-03-2020 00:00,14-05-2020 00:00,10-03-2020 00:00,NAGD,10665.53,
32,U001,200769623,WAL-MAR ,13-04-2020 01:03,2020,1930676002,21-03-2020 00:00,05-04-2020 00:00,21-03-2020 00:00,NAH4,7280.51,0-15
33,U001,200726979,BJ'S  corporation,17-03-2020 05:26,2020,1930585378,02-03-2020 00:00,17-03-2020 00:00,02-03-2020 00:00,NAA8,13681.7,0-15
34,U001,200706844,WINC associates,10-05-2020 03:20,2020,1930773419,07-04-2020 00:00,22-04-2020 00:00,07-04-2020 00:00,NAA8,33947.85,16-30
35,U001,200793830,M llc,17-04-2020 18:06,2020,1930767747,08-04-2020 00:00,23-04-2020 00:00,08-04-2020 00:00,NAA8,4537.14,
36,U001,200769623,WAL-MAR foundation,02-05-2020 06:59,2020,1930750455,06-04-2020 00:00,21-04-2020 00:00,06-04-2020 00:00,NAH4,14355.96,0-15
37,U001,200769623,WAL-MAR systems,26-04-2020 07:56,2020,1930738904,03-04-2020 00:00,18-04-2020 00:00,03-04-2020 00:00,NAH4,367.71,0-15
38,U001,200769623,WAL-MAR trust,28-05-2020 15:55,2020,1930862467,06-05-2020 00:00,21-05-2020 00:00,06-05-2020 00:00,NAH4,56284.77,0-15
39,U001,200769623,WAL-MAR systems,22-03-2020 15:48,2020,1930582162,29-02-2020 00:00,15-03-2020 00:00,29-02-2020 00:00,NAH4,50493.86,0-15
40,U001,200769623,WAL-MAR llc,17-05-2020 06:21,2020,1930802490,21-04-2020 00:00,06-05-2020 00:00,21-04-2020 00:00,NAH4,15489.43,0-15
41,CA02,140104423,METRO  llc,10-03-2020 15:49,2020,2960617050,27-02-2020 00:00,11-03-2020 00:00,01-03-2020 00:00,CA10,105159.5544,
42,U001,200726979,BJ'S  systems,04-05-2020 08:17,2020,1930801417,19-04-2020 00:00,04-05-2020 00:00,19-04-2020 00:00,NAA8,360.33,0-15
43,U001,200743996,STATER  llc,10-05-2020 06:25,2020,1930660304,16-03-2020 00:00,20-05-2020 00:00,16-03-2020 00:00,NAGD,3826.03,
44,U001,200752302,KROGER trust,16-04-2020 14:28,2020,1930733767,02-04-2020 00:00,17-04-2020 00:00,02-04-2020 00:00,NAA8,96674.05,
45,CA02,140105686,SYSC llc,22-05-2020 12:31,2020,2960633120,06-05-2020 00:00,18-05-2020 00:00,08-05-2020 00:00,CA10,48788.4803,0-15
46,U001,200711029,WEGMAN corp,06-05-2020 11:01,2020,1930742932,03-04-2020 00:00,18-04-2020 00:00,03-04-2020 00:00,NAA8,14382.22,16-30
47,CA02,CCU001,KRAFT  corporation,03-05-2020 14:08,2020,2960622220,20-03-2020 00:00,27-04-2020 00:00,23-03-2020 00:00,NAG2,20120.2493,0-15
48,U001,200769623,WAL-MAR llc,13-05-2020 08:41,2020,1930804924,21-04-2020 00:00,06-05-2020 00:00,21-04-2020 00:00,NAH4,35509.95,0-15
49,U001,200769623,WAL-MAR associates,27-04-2020 22:44,2020,1930746955,05-04-2020 00:00,20-04-2020 00:00,05-04-2020 00:00,NAH4,13512.61,0-15
50,U001,200772670,ASSOCIAT corp,08-04-2020 09:41,2020,1930698156,24-03-2020 00:00,08-04-2020 00:00,24-03-2020 00:00,NAU5,24421.33,0-15
51,U001,200769623,WAL-MAR co,11-05-2020 23:10,2020,1930801200,19-04-2020 00:00,04-05-2020 00:00,19-04-2020 00:00,NAH4,11217.33,0-15
52,U001,200769623,WAL-MAR systems,06-05-2020 07:48,2020,1930776682,13-04-2020 00:00,28-04-2020 00:00,13-04-2020 00:00,NAH4,12554.13,0-15
53,U001,200720238,WOODM co,27-05-2020 02:09,2020,1930858727,06-05-2020 00:00,21-05-2020 00:00,06-05-2020 00:00,NAA8,126919.03,0-15
54,CA02,140106408,WAL-M in,27-05-2020 06:37,2020,2960631200,25-04-2020 00:00,05-05-2020 00:00,25-04-2020 00:00,CA10,32206.8148,16-30
55,U001,200769623,WAL-MAR us,08-04-2020 06:21,2020,1930653060,15-03-2020 00:00,30-03-2020 00:00,15-03-2020 00:00,NAH4,50202.83,0-15
56,U001,200769623,WAL-MAR us,25-04-2020 22:04,2020,1930715979,01-04-2020 00:00,16-04-2020 00:00,01-04-2020 00:00,NAH4,8299.7,0-15
57,U001,200799367,MCL corporation,06-04-2020 15:06,2020,1930673430,24-03-2020 00:00,08-04-2020 00:00,24-03-2020 00:00,NAA8,51602.13,
58,U001,200759878,SA co,29-04-2020 09:23,2020,1930783249,14-04-2020 00:00,29-04-2020 00:00,14-04-2020 00:00,NAH4,18900.99,0-15
59,U001,200794332,COST corp,28-03-2020 09:43,2020,1930638145,14-03-2020 00:00,29-03-2020 00:00,14-03-2020 00:00,NAAX,49467.7,
60,U001,200515231,US  us,28-04-2020 03:36,2020,1930768145,09-04-2020 00:00,24-04-2020 00:00,09-04-2020 00:00,NAA8,10187.66,0-15
61,U001,200782669,SYGMA corp,26-03-2020 06:24,2020,1930636977,13-03-2020 00:00,28-03-2020 00:00,13-03-2020 00:00,NAA8,237.4,
62,U001,200769623,WAL-MAR foundation,04-06-2020 00:28,2020,1930882979,12-05-2020 00:00,27-05-2020 00:00,12-05-2020 00:00,NAH4,11532.84,0-15
63,U001,200769623,WAL-MAR ,19-04-2020 07:18,2020,1930692833,24-03-2020 00:00,08-04-2020 00:00,24-03-2020 00:00,NAH4,20017.92,0-15
64,U001,200331749,SYSC foundation,14-03-2020 01:57,2020,1930579080,28-02-2020 00:00,14-03-2020 00:00,28-02-2020 00:00,NAA8,5320.85,0-15
65,U001,200772670,ASSOCIAT associates,08-05-2020 09:41,2020,1930819529,23-04-2020 00:00,08-05-2020 00:00,23-04-2020 00:00,NAU5,30900.83,0-15
66,U001,200772670,ASSOCIAT us,18-04-2020 21:03,2020,1930736164,02-04-2020 00:00,17-04-2020 00:00,02-04-2020 00:00,NAU5,65843.26,0-15
67,U001,200706844,WINC foundation,03-04-2020 01:06,2020,1930599854,04-03-2020 00:00,19-03-2020 00:00,04-03-2020 00:00,NAA8,359.44,16-30
68,U001,100043975,JAVA ,13-04-2020 09:43,2020,1930740345,03-04-2020 00:00,18-04-2020 00:00,03-04-2020 00:00,NAA8,1427.36,
